amount,date,category,description/merchant,expense_type
10.11,2024-01-14,Transportation,Petrol Station,need
32.21,2024-01-14,Transportation,Bus Pass Kiosk,need
84.08,2024-01-15,Education,Bookstore,want
91.86,2024-01-15,Entertainment,Concert Venue,want
10.2,2024-01-15,Dining Out,Coffee Shop Downtown,want
80.21,2024-01-15,Health,Doctor Visit,need
33.34,2024-01-16,Dining Out,Pizzeria Bella,want
45.0,2024-01-16,Transportation,Petrol Station,need
70.76,2024-01-17,Entertainment,Concert Venue,want
46.42,2024-01-17,Utilities,Internet Provider,need
58.41,2024-01-18,Personal Care,Spa Center,want
98.74,2024-01-18,Utilities,Electricity Bill,need
46.07,2024-01-18,Health,Therapy Session,need
24.23,2024-01-19,Health,Doctor Visit,need
191.18,2024-01-19,Shopping,Clothing Store Sale,need
121.72,2024-01-20,Education,Workshop Fee,need
61.71,2024-01-20,Entertainment,Concert Venue,want
27.47,2024-01-20,Entertainment,Concert Venue,want
94.77,2024-01-21,Utilities,Electricity Bill,need
180.12,2024-01-23,Shopping,Online Electronics,want
63.02,2024-01-23,Entertainment,Streaming Service Subscription,want
16.53,2024-01-23,Transportation,Petrol Station,need
144.05,2024-01-24,Utilities,Water Bill,need
138.22,2024-01-24,Utilities,Internet Provider,need
48.17,2024-01-25,Entertainment,Streaming Service Subscription,want
17.51,2024-01-26,Dining Out,Fast Food Z,want
121.56,2024-01-26,Utilities,Electricity Bill,need
79.0,2024-01-27,Entertainment,Streaming Service Subscription,want
24.68,2024-01-27,Groceries,Grocery Store B,need
222.22,2024-01-27,Education,Online Course,need
35.83,2024-01-27,Groceries,Supermarket A,need
43.78,2024-01-27,Entertainment,Streaming Service Subscription,want
19.49,2024-01-28,Dining Out,Coffee Shop Downtown,want
387.97,2024-01-28,Travel,Flight Booking,want
74.59,2024-01-28,Health,Therapy Session,need
35.53,2024-01-28,Personal Care,Spa Center,want
70.72,2024-01-29,Entertainment,Concert Venue,want
28.7,2024-01-29,Health,Therapy Session,need
27.81,2024-01-29,Personal Care,Pharmacy,need
60.81,2024-01-30,Shopping,Clothing Store Sale,need
114.42,2024-01-30,Utilities,Electricity Bill,need
29.16,2024-01-30,Education,Bookstore,want
19.76,2024-01-30,Transportation,Petrol Station,need
20.11,2024-01-30,Dining Out,Fast Food Z,want
45.11,2024-01-31,Groceries,Supermarket A,need
193.31,2024-01-31,Shopping,Online Electronics,want
88.21,2024-01-31,Groceries,Supermarket A,need
63.02,2024-02-01,Personal Care,Haircut,want
111.44,2024-02-01,Groceries,Local Supermarket,need
31.66,2024-02-01,Transportation,Ride Sharing App,need
84.97,2024-02-02,Education,Bookstore,want
283.01,2024-02-03,Travel,Hotel Stay,want
36.85,2024-02-03,Dining Out,Sushi Bar,want
22.96,2024-02-03,Health,Doctor Visit,need
12.08,2024-02-03,Dining Out,Coffee Shop Downtown,want
62.22,2024-02-04,Personal Care,Spa Center,want
423.3,2024-02-04,Travel,Train Ticket,want
92.56,2024-02-04,Entertainment,Concert Venue,want
74.58,2024-02-05,Personal Care,Haircut,want
43.55,2024-02-05,Groceries,Grocery Store B,need
22.14,2024-02-06,Transportation,Petrol Station,need
42.5,2024-02-06,Transportation,Petrol Station,need
20.78,2024-02-06,Personal Care,Spa Center,want
13.9,2024-02-08,Entertainment,Concert Venue,want
27.81,2024-02-09,Dining Out,Pizzeria Bella,want
59.31,2024-02-09,Utilities,Electricity Bill,need
152.39,2024-02-10,Travel,Flight Booking,want
493.13,2024-02-10,Travel,Flight Booking,want
99.01,2024-02-11,Utilities,Electricity Bill,need
138.57,2024-02-11,Health,Doctor Visit,need
72.89,2024-02-11,Education,Bookstore,want
11.25,2024-02-11,Dining Out,Pizzeria Bella,want
51.9,2024-02-11,Utilities,Electricity Bill,need
81.37,2024-02-12,Entertainment,Concert Venue,want
105.84,2024-02-12,Utilities,Electricity Bill,need
139.5,2024-02-12,Health,Therapy Session,need
12.42,2024-02-13,Entertainment,Concert Venue,want
109.72,2024-02-13,Shopping,Bookshop,want
50.66,2024-02-15,Transportation,Petrol Station,need
54.47,2024-02-15,Shopping,Online Electronics,want
18.21,2024-02-16,Entertainment,Concert Venue,want
79.36,2024-02-17,Groceries,Grocery Store B,need
50.15,2024-02-18,Education,Bookstore,want
71.96,2024-02-18,Personal Care,Spa Center,want
64.43,2024-02-18,Entertainment,Cinema Tickets,want
46.63,2024-02-19,Personal Care,Pharmacy,need
16.83,2024-02-19,Personal Care,Spa Center,want
140.99,2024-02-19,Travel,Flight Booking,want
54.74,2024-02-20,Personal Care,Haircut,want
48.57,2024-02-20,Utilities,Electricity Bill,need
86.08,2024-02-21,Groceries,Grocery Store B,need
192.92,2024-02-21,Education,Bookstore,want
12.34,2024-02-22,Dining Out,Fast Food Z,want
410.21,2024-02-22,Travel,Flight Booking,want
198.32,2024-02-23,Shopping,Bookshop,want
53.25,2024-02-23,Entertainment,Concert Venue,want
39.4,2024-02-24,Personal Care,Spa Center,want
22.46,2024-02-24,Groceries,Grocery Store B,need
105.54,2024-02-24,Utilities,Internet Provider,need
125.01,2024-02-24,Health,Gym Membership,need
35.88,2024-02-24,Transportation,Bus Pass Kiosk,need
5.63,2024-02-25,Dining Out,Lunch Cafe,want
54.61,2024-02-25,Health,Therapy Session,need
75.22,2024-02-25,Entertainment,Cinema Tickets,want
54.54,2024-02-25,Groceries,Local Supermarket,need
22.67,2024-02-25,Education,Online Course,need
79.93,2024-02-26,Health,Gym Membership,need
84.86,2024-02-27,Utilities,Water Bill,need
44.73,2024-02-27,Entertainment,Concert Venue,want
87.68,2024-02-27,Utilities,Water Bill,need
126.13,2024-03-01,Shopping,Home Decor,want
119.94,2024-03-01,Utilities,Internet Provider,need
28.65,2024-03-01,Groceries,Supermarket A,need
116.69,2024-03-01,Groceries,Grocery Store B,need
71.91,2024-03-01,Entertainment,Concert Venue,want
110.03,2024-03-01,Groceries,Grocery Store B,need
58.31,2024-03-02,Personal Care,Pharmacy,need
68.44,2024-03-02,Shopping,Online Electronics,want
127.75,2024-03-02,Shopping,Home Decor,want
32.07,2024-03-02,Personal Care,Pharmacy,need
56.98,2024-03-03,Entertainment,Concert Venue,want
98.65,2024-03-03,Health,Gym Membership,need
36.19,2024-03-03,Groceries,Supermarket A,need
5.41,2024-03-04,Dining Out,Pizzeria Bella,want
24.76,2024-03-04,Groceries,Grocery Store B,need
209.73,2024-03-05,Education,Bookstore,want
54.02,2024-03-05,Health,Therapy Session,need
107.71,2024-03-06,Education,Workshop Fee,need
115.23,2024-03-06,Health,Gym Membership,need
75.47,2024-03-06,Personal Care,Haircut,want
17.25,2024-03-07,Transportation,Bus Pass Kiosk,need
102.82,2024-03-07,Utilities,Electricity Bill,need
368.02,2024-03-07,Travel,Flight Booking,want
29.89,2024-03-08,Personal Care,Pharmacy,need
166.17,2024-03-09,Shopping,Bookshop,want
78.19,2024-03-09,Entertainment,Concert Venue,want
59.09,2024-03-09,Utilities,Internet Provider,need
71.3,2024-03-10,Personal Care,Pharmacy,need
32.24,2024-03-11,Groceries,Grocery Store B,need
93.97,2024-03-12,Groceries,Supermarket A,need
207.6,2024-03-13,Education,Online Course,need
50.53,2024-03-14,Transportation,Ride Sharing App,need
34.59,2024-03-14,Utilities,Water Bill,need
77.75,2024-03-14,Personal Care,Spa Center,want
47.18,2024-03-15,Health,Therapy Session,need
37.62,2024-03-15,Groceries,Local Supermarket,need
81.78,2024-03-15,Entertainment,Streaming Service Subscription,want
26.16,2024-03-15,Entertainment,Concert Venue,want
50.22,2024-03-15,Education,Bookstore,want
17.95,2024-03-16,Education,Workshop Fee,need
12.95,2024-03-16,Transportation,Ride Sharing App,need
20.56,2024-03-17,Education,Bookstore,want
28.59,2024-03-17,Dining Out,Coffee Shop Downtown,want
44.16,2024-03-17,Transportation,Ride Sharing App,need
293.81,2024-03-17,Travel,Flight Booking,want
67.34,2024-03-17,Personal Care,Spa Center,want
38.75,2024-03-18,Entertainment,Streaming Service Subscription,want
35.2,2024-03-18,Personal Care,Spa Center,want
77.52,2024-03-18,Personal Care,Pharmacy,need
6.25,2024-03-19,Dining Out,Pizzeria Bella,want
58.35,2024-03-19,Groceries,Local Supermarket,need
195.64,2024-03-20,Shopping,Bookshop,want
12.98,2024-03-20,Personal Care,Pharmacy,need
141.07,2024-03-20,Health,Doctor Visit,need
99.71,2024-03-21,Education,Bookstore,want
37.32,2024-03-23,Transportation,Petrol Station,need
63.47,2024-03-23,Utilities,Electricity Bill,need
95.74,2024-03-23,Health,Doctor Visit,need
47.62,2024-03-23,Transportation,Petrol Station,need
217.66,2024-03-23,Education,Bookstore,want
61.76,2024-03-24,Personal Care,Spa Center,want
39.57,2024-03-25,Utilities,Water Bill,need
100.09,2024-03-25,Health,Therapy Session,need
53.74,2024-03-25,Transportation,Bus Pass Kiosk,need
445.76,2024-03-26,Travel,Flight Booking,want
36.34,2024-03-27,Personal Care,Pharmacy,need
70.97,2024-03-28,Shopping,Home Decor,want
97.5,2024-03-28,Groceries,Supermarket A,need
160.41,2024-03-28,Shopping,Bookshop,want
64.7,2024-03-30,Education,Bookstore,want
36.71,2024-03-30,Dining Out,Lunch Cafe,want
29.16,2024-03-31,Transportation,Petrol Station,need
55.37,2024-03-31,Transportation,Petrol Station,need
65.66,2024-03-31,Groceries,Grocery Store B,need
126.72,2024-04-01,Utilities,Water Bill,need
13.76,2024-04-01,Transportation,Petrol Station,need
36.93,2024-04-01,Entertainment,Concert Venue,want
95.45,2024-04-01,Entertainment,Streaming Service Subscription,want
414.86,2024-04-01,Travel,Flight Booking,want
102.63,2024-04-01,Shopping,Online Electronics,want
74.56,2024-04-02,Groceries,Grocery Store B,need
25.97,2024-04-02,Personal Care,Spa Center,want
181.2,2024-04-02,Shopping,Bookshop,want
89.75,2024-04-03,Groceries,Supermarket A,need
86.61,2024-04-03,Shopping,Home Decor,want
21.62,2024-04-04,Personal Care,Spa Center,want
12.15,2024-04-04,Transportation,Bus Pass Kiosk,need
78.33,2024-04-05,Education,Bookstore,want
143.47,2024-04-05,Utilities,Internet Provider,need
119.58,2024-04-06,Groceries,Grocery Store B,need
5.98,2024-04-06,Personal Care,Haircut,want
78.94,2024-04-07,Shopping,Bookshop,want
14.34,2024-04-07,Personal Care,Pharmacy,need
79.98,2024-04-07,Personal Care,Pharmacy,need
87.01,2024-04-07,Groceries,Local Supermarket,need
69.11,2024-04-09,Groceries,Supermarket A,need
72.12,2024-04-09,Utilities,Electricity Bill,need
77.33,2024-04-10,Shopping,Home Decor,want
116.48,2024-04-10,Groceries,Supermarket A,need
41.08,2024-04-11,Groceries,Grocery Store B,need
68.27,2024-04-13,Shopping,Online Electronics,want
149.91,2024-04-13,Utilities,Internet Provider,need
16.21,2024-04-14,Personal Care,Spa Center,want
128.06,2024-04-14,Health,Gym Membership,need
37.19,2024-04-15,Dining Out,Sushi Bar,want
50.96,2024-04-15,Entertainment,Concert Venue,want
159.42,2024-04-15,Shopping,Bookshop,want
15.38,2024-04-16,Dining Out,Coffee Shop Downtown,want
81.43,2024-04-17,Entertainment,Streaming Service Subscription,want
35.24,2024-04-17,Dining Out,Fast Food Z,want
41.14,2024-04-18,Groceries,Supermarket A,need
18.11,2024-04-19,Dining Out,Fast Food Z,want
22.63,2024-04-20,Personal Care,Haircut,want
59.32,2024-04-20,Personal Care,Spa Center,want
178.57,2024-04-20,Education,Workshop Fee,need
60.71,2024-04-21,Utilities,Internet Provider,need
8.18,2024-04-21,Dining Out,Sushi Bar,want
54.77,2024-04-21,Utilities,Internet Provider,need
70.38,2024-04-22,Entertainment,Streaming Service Subscription,want
37.3,2024-04-23,Dining Out,Pizzeria Bella,want
45.08,2024-04-23,Entertainment,Streaming Service Subscription,want
244.55,2024-04-23,Travel,Hotel Stay,want
30.2,2024-04-25,Shopping,Home Decor,want
159.25,2024-04-26,Travel,Flight Booking,want
95.15,2024-04-27,Entertainment,Concert Venue,want
168.59,2024-04-27,Education,Workshop Fee,need
41.41,2024-04-28,Shopping,Home Decor,want
39.85,2024-04-28,Personal Care,Haircut,want
104.39,2024-04-28,Shopping,Clothing Store Sale,need
23.8,2024-04-29,Entertainment,Streaming Service Subscription,want
248.19,2024-04-29,Education,Bookstore,want
120.57,2024-04-30,Health,Gym Membership,need
74.31,2024-04-30,Entertainment,Streaming Service Subscription,want
169.53,2024-04-30,Travel,Flight Booking,want
47.3,2024-05-01,Personal Care,Pharmacy,need
118.51,2024-05-01,Health,Gym Membership,need
168.19,2024-05-01,Education,Workshop Fee,need
66.7,2024-05-01,Personal Care,Spa Center,want
73.57,2024-05-01,Entertainment,Streaming Service Subscription,want
103.13,2024-05-04,Health,Gym Membership,need
30.4,2024-05-04,Personal Care,Spa Center,want
36.43,2024-05-05,Transportation,Ride Sharing App,need
36.0,2024-05-05,Personal Care,Haircut,want
31.6,2024-05-05,Transportation,Petrol Station,need
41.95,2024-05-07,Health,Doctor Visit,need
24.66,2024-05-08,Shopping,Home Decor,want
130.22,2024-05-08,Shopping,Online Electronics,want
95.79,2024-05-09,Entertainment,Streaming Service Subscription,want
45.45,2024-05-10,Personal Care,Pharmacy,need
13.74,2024-05-11,Transportation,Ride Sharing App,need
26.34,2024-05-11,Shopping,Online Electronics,want
115.05,2024-05-11,Utilities,Internet Provider,need
69.31,2024-05-12,Groceries,Grocery Store B,need
453.15,2024-05-12,Travel,Train Ticket,want
171.0,2024-05-12,Shopping,Clothing Store Sale,need
57.22,2024-05-14,Transportation,Ride Sharing App,need
46.2,2024-05-14,Groceries,Grocery Store B,need
175.75,2024-05-15,Travel,Hotel Stay,want
70.36,2024-05-15,Groceries,Grocery Store B,need
105.68,2024-05-15,Utilities,Water Bill,need
109.68,2024-05-15,Utilities,Internet Provider,need
31.0,2024-05-15,Entertainment,Streaming Service Subscription,want
76.16,2024-05-15,Groceries,Local Supermarket,need
89.88,2024-05-16,Groceries,Grocery Store B,need
87.81,2024-05-17,Travel,Flight Booking,want
137.67,2024-05-17,Shopping,Bookshop,want
306.79,2024-05-18,Travel,Flight Booking,want
19.79,2024-05-18,Dining Out,Fast Food Z,want
133.07,2024-05-19,Utilities,Water Bill,need
41.9,2024-05-21,Transportation,Bus Pass Kiosk,need
389.68,2024-05-21,Travel,Flight Booking,want
142.54,2024-05-22,Education,Bookstore,want
6.77,2024-05-23,Dining Out,Fast Food Z,want
57.46,2024-05-23,Education,Online Course,need
19.26,2024-05-24,Education,Bookstore,want
6.65,2024-05-24,Personal Care,Pharmacy,need
79.13,2024-05-24,Personal Care,Haircut,want
95.49,2024-05-25,Utilities,Electricity Bill,need
41.65,2024-05-26,Entertainment,Concert Venue,want
41.94,2024-05-26,Shopping,Bookshop,want
118.4,2024-05-26,Groceries,Local Supermarket,need
118.26,2024-05-27,Groceries,Local Supermarket,need
132.01,2024-05-27,Health,Doctor Visit,need
6.82,2024-05-28,Dining Out,Fast Food Z,want
106.76,2024-05-29,Health,Doctor Visit,need
32.98,2024-05-30,Dining Out,Pizzeria Bella,want
18.88,2024-05-30,Entertainment,Concert Venue,want
104.52,2024-05-30,Health,Therapy Session,need
34.15,2024-05-30,Dining Out,Fast Food Z,want
49.29,2024-05-30,Groceries,Local Supermarket,need
25.01,2024-05-31,Entertainment,Concert Venue,want
18.48,2024-06-01,Dining Out,Fast Food Z,want
75.86,2024-06-01,Groceries,Supermarket A,need
177.9,2024-06-01,Shopping,Clothing Store Sale,need
62.91,2024-06-02,Entertainment,Streaming Service Subscription,want
129.02,2024-06-02,Health,Gym Membership,need
48.99,2024-06-02,Personal Care,Spa Center,want
472.03,2024-06-02,Travel,Hotel Stay,want
126.01,2024-06-02,Health,Therapy Session,need
51.9,2024-06-04,Transportation,Petrol Station,need
135.31,2024-06-04,Shopping,Clothing Store Sale,need
82.89,2024-06-05,Entertainment,Concert Venue,want
198.92,2024-06-08,Education,Online Course,need
39.7,2024-06-08,Transportation,Bus Pass Kiosk,need
80.57,2024-06-09,Groceries,Grocery Store B,need
22.55,2024-06-09,Health,Gym Membership,need
14.53,2024-06-09,Transportation,Bus Pass Kiosk,need
234.32,2024-06-09,Education,Workshop Fee,need
12.81,2024-06-10,Transportation,Bus Pass Kiosk,need
69.79,2024-06-11,Personal Care,Haircut,want
34.26,2024-06-11,Groceries,Grocery Store B,need
60.52,2024-06-11,Shopping,Bookshop,want
88.2,2024-06-12,Shopping,Clothing Store Sale,need
5.73,2024-06-13,Dining Out,Fast Food Z,want
79.47,2024-06-13,Utilities,Water Bill,need
40.84,2024-06-14,Personal Care,Haircut,want
76.17,2024-06-14,Health,Doctor Visit,need
167.82,2024-06-14,Travel,Train Ticket,want
132.7,2024-06-15,Health,Gym Membership,need
6.59,2024-06-15,Dining Out,Pizzeria Bella,want
56.77,2024-06-15,Transportation,Ride Sharing App,need
221.9,2024-06-15,Travel,Flight Booking,want
27.1,2024-06-16,Health,Therapy Session,need
15.39,2024-06-17,Dining Out,Sushi Bar,want
139.74,2024-06-17,Health,Therapy Session,need
17.1,2024-06-17,Transportation,Bus Pass Kiosk,need
33.7,2024-06-18,Groceries,Supermarket A,need
95.68,2024-06-18,Health,Therapy Session,need
137.7,2024-06-18,Utilities,Internet Provider,need
68.79,2024-06-19,Personal Care,Haircut,want
218.2,2024-06-20,Education,Workshop Fee,need
51.11,2024-06-20,Health,Doctor Visit,need
10.31,2024-06-21,Transportation,Bus Pass Kiosk,need
22.77,2024-06-22,Transportation,Petrol Station,need
27.67,2024-06-22,Transportation,Bus Pass Kiosk,need
46.46,2024-06-22,Groceries,Grocery Store B,need
14.81,2024-06-22,Transportation,Petrol Station,need
41.26,2024-06-22,Shopping,Home Decor,want
53.81,2024-06-23,Transportation,Petrol Station,need
35.95,2024-06-23,Groceries,Local Supermarket,need
180.24,2024-06-23,Travel,Flight Booking,want
111.78,2024-06-23,Health,Gym Membership,need
108.99,2024-06-24,Groceries,Local Supermarket,need
159.84,2024-06-24,Shopping,Online Electronics,want
79.8,2024-06-24,Education,Bookstore,want
103.71,2024-06-25,Groceries,Supermarket A,need
16.3,2024-06-26,Dining Out,Sushi Bar,want
29.77,2024-06-26,Entertainment,Cinema Tickets,want
36.99,2024-06-26,Personal Care,Spa Center,want
406.39,2024-06-27,Travel,Hotel Stay,want
33.88,2024-06-28,Transportation,Ride Sharing App,need
31.2,2024-06-28,Utilities,Internet Provider,need
36.45,2024-06-29,Dining Out,Sushi Bar,want
60.22,2024-06-30,Utilities,Internet Provider,need
50.35,2024-06-30,Education,Online Course,need
485.86,2024-06-30,Travel,Train Ticket,want
54.3,2024-06-30,Transportation,Bus Pass Kiosk,need
32.0,2024-07-01,Transportation,Petrol Station,need
116.76,2024-07-01,Education,Workshop Fee,need
99.95,2024-07-01,Travel,Hotel Stay,want
20.66,2024-07-02,Transportation,Petrol Station,need
77.89,2024-07-02,Personal Care,Haircut,want
187.87,2024-07-02,Shopping,Bookshop,want
26.59,2024-07-03,Dining Out,Sushi Bar,want
32.39,2024-07-03,Entertainment,Cinema Tickets,want
301.71,2024-07-03,Travel,Hotel Stay,want
101.68,2024-07-04,Health,Doctor Visit,need
36.13,2024-07-06,Transportation,Bus Pass Kiosk,need
32.91,2024-07-06,Personal Care,Pharmacy,need
11.72,2024-07-07,Personal Care,Spa Center,want
14.17,2024-07-08,Entertainment,Streaming Service Subscription,want
31.96,2024-07-09,Dining Out,Fast Food Z,want
92.63,2024-07-10,Health,Gym Membership,need
109.67,2024-07-10,Utilities,Internet Provider,need
7.9,2024-07-10,Dining Out,Coffee Shop Downtown,want
137.79,2024-07-11,Shopping,Clothing Store Sale,need
19.91,2024-07-12,Dining Out,Coffee Shop Downtown,want
102.78,2024-07-13,Health,Doctor Visit,need
443.42,2024-07-13,Travel,Flight Booking,want
269.17,2024-07-13,Travel,Train Ticket,want
29.93,2024-07-13,Health,Therapy Session,need
226.44,2024-07-14,Travel,Hotel Stay,want
128.84,2024-07-14,Health,Doctor Visit,need
26.55,2024-07-14,Health,Gym Membership,need
66.12,2024-07-14,Groceries,Supermarket A,need
235.77,2024-07-15,Travel,Flight Booking,want
12.93,2024-07-15,Entertainment,Concert Venue,want
28.62,2024-07-15,Transportation,Bus Pass Kiosk,need
185.89,2024-07-15,Education,Online Course,need
57.84,2024-07-15,Health,Gym Membership,need
333.28,2024-07-15,Travel,Hotel Stay,want
56.24,2024-07-16,Education,Workshop Fee,need
66.32,2024-07-20,Groceries,Grocery Store B,need
160.36,2024-07-20,Shopping,Home Decor,want
10.96,2024-07-20,Transportation,Bus Pass Kiosk,need
73.43,2024-07-20,Entertainment,Streaming Service Subscription,want
56.32,2024-07-21,Transportation,Petrol Station,need
71.91,2024-07-21,Utilities,Internet Provider,need
165.45,2024-07-21,Travel,Hotel Stay,want
18.22,2024-07-21,Transportation,Ride Sharing App,need
233.89,2024-07-22,Education,Bookstore,want
75.82,2024-07-23,Education,Online Course,need
11.21,2024-07-23,Dining Out,Fast Food Z,want
11.67,2024-07-25,Transportation,Ride Sharing App,need
36.3,2024-07-27,Entertainment,Cinema Tickets,want
111.93,2024-07-27,Utilities,Electricity Bill,need
40.56,2024-07-28,Transportation,Ride Sharing App,need
134.88,2024-07-29,Utilities,Electricity Bill,need
52.38,2024-07-29,Utilities,Internet Provider,need
82.33,2024-07-30,Entertainment,Streaming Service Subscription,want
85.14,2024-07-30,Utilities,Internet Provider,need
155.88,2024-07-31,Education,Online Course,need
394.55,2024-07-31,Travel,Hotel Stay,want
286.99,2024-08-01,Travel,Train Ticket,want
146.79,2024-08-01,Health,Gym Membership,need
370.15,2024-08-01,Travel,Train Ticket,want
23.75,2024-08-01,Shopping,Clothing Store Sale,need
148.66,2024-08-02,Health,Therapy Session,need
62.24,2024-08-03,Groceries,Local Supermarket,need
83.22,2024-08-03,Groceries,Supermarket A,need
47.83,2024-08-03,Health,Gym Membership,need
54.88,2024-08-03,Transportation,Petrol Station,need
59.38,2024-08-04,Transportation,Bus Pass Kiosk,need
260.84,2024-08-04,Travel,Train Ticket,want
37.92,2024-08-04,Utilities,Electricity Bill,need
76.76,2024-08-05,Personal Care,Spa Center,want
135.28,2024-08-05,Utilities,Electricity Bill,need
53.11,2024-08-08,Transportation,Petrol Station,need
48.21,2024-08-08,Transportation,Bus Pass Kiosk,need
38.1,2024-08-10,Entertainment,Streaming Service Subscription,want
93.91,2024-08-11,Health,Gym Membership,need
52.98,2024-08-11,Health,Gym Membership,need
32.94,2024-08-11,Transportation,Ride Sharing App,need
83.01,2024-08-11,Groceries,Supermarket A,need
37.39,2024-08-11,Entertainment,Streaming Service Subscription,want
67.16,2024-08-12,Groceries,Grocery Store B,need
15.03,2024-08-12,Entertainment,Streaming Service Subscription,want
60.83,2024-08-14,Shopping,Home Decor,want
50.17,2024-08-14,Personal Care,Spa Center,want
134.82,2024-08-14,Utilities,Internet Provider,need
49.84,2024-08-15,Education,Online Course,need
49.2,2024-08-15,Shopping,Bookshop,want
128.49,2024-08-15,Travel,Train Ticket,want
26.74,2024-08-15,Shopping,Bookshop,want
57.66,2024-08-15,Transportation,Petrol Station,need
37.45,2024-08-17,Dining Out,Sushi Bar,want
87.74,2024-08-17,Groceries,Supermarket A,need
15.09,2024-08-18,Personal Care,Haircut,want
39.1,2024-08-18,Dining Out,Pizzeria Bella,want
32.91,2024-08-20,Shopping,Online Electronics,want
48.69,2024-08-20,Health,Gym Membership,need
16.23,2024-08-21,Education,Workshop Fee,need
35.44,2024-08-22,Entertainment,Streaming Service Subscription,want
179.94,2024-08-23,Education,Online Course,need
95.36,2024-08-23,Health,Doctor Visit,need
43.04,2024-08-23,Utilities,Internet Provider,need
30.7,2024-08-24,Health,Therapy Session,need
60.25,2024-08-24,Education,Online Course,need
69.27,2024-08-24,Personal Care,Haircut,want
198.51,2024-08-24,Education,Online Course,need
63.78,2024-08-25,Groceries,Grocery Store B,need
38.49,2024-08-26,Personal Care,Pharmacy,need
10.48,2024-08-26,Transportation,Petrol Station,need
280.97,2024-08-27,Travel,Hotel Stay,want
13.42,2024-08-29,Dining Out,Coffee Shop Downtown,want
8.77,2024-08-29,Personal Care,Haircut,want
424.75,2024-08-29,Travel,Train Ticket,want
446.65,2024-08-30,Travel,Train Ticket,want
17.09,2024-08-30,Dining Out,Fast Food Z,want
62.97,2024-08-30,Shopping,Home Decor,want
94.91,2024-08-30,Education,Online Course,need
38.24,2024-08-31,Personal Care,Haircut,want
35.31,2024-08-31,Dining Out,Pizzeria Bella,want
55.94,2024-08-31,Groceries,Supermarket A,need
12.38,2024-08-31,Transportation,Bus Pass Kiosk,need
217.38,2024-08-31,Education,Bookstore,want
42.36,2024-09-01,Utilities,Water Bill,need
111.51,2024-09-01,Education,Workshop Fee,need
63.89,2024-09-01,Health,Therapy Session,need
8.08,2024-09-02,Dining Out,Fast Food Z,want
49.38,2024-09-02,Entertainment,Streaming Service Subscription,want
20.73,2024-09-02,Transportation,Ride Sharing App,need
10.7,2024-09-05,Entertainment,Streaming Service Subscription,want
98.52,2024-09-05,Entertainment,Concert Venue,want
140.78,2024-09-07,Utilities,Internet Provider,need
141.72,2024-09-07,Health,Gym Membership,need
16.82,2024-09-07,Dining Out,Fast Food Z,want
169.91,2024-09-08,Shopping,Online Electronics,want
79.52,2024-09-08,Health,Gym Membership,need
149.93,2024-09-08,Health,Doctor Visit,need
143.94,2024-09-08,Travel,Hotel Stay,want
54.8,2024-09-09,Personal Care,Spa Center,want
50.85,2024-09-09,Shopping,Clothing Store Sale,need
131.71,2024-09-10,Utilities,Water Bill,need
129.59,2024-09-10,Health,Therapy Session,need
44.58,2024-09-10,Personal Care,Spa Center,want
118.54,2024-09-11,Utilities,Electricity Bill,need
125.59,2024-09-11,Health,Gym Membership,need
103.73,2024-09-12,Groceries,Local Supermarket,need
61.33,2024-09-13,Utilities,Water Bill,need
37.0,2024-09-13,Health,Doctor Visit,need
45.84,2024-09-13,Education,Online Course,need
74.09,2024-09-14,Travel,Flight Booking,want
35.12,2024-09-14,Shopping,Online Electronics,want
9.75,2024-09-14,Personal Care,Haircut,want
63.2,2024-09-15,Groceries,Local Supermarket,need
96.56,2024-09-15,Shopping,Home Decor,want
129.21,2024-09-15,Education,Online Course,need
94.03,2024-09-16,Utilities,Internet Provider,need
253.66,2024-09-16,Travel,Hotel Stay,want
119.16,2024-09-18,Groceries,Grocery Store B,need
46.88,2024-09-19,Education,Workshop Fee,need
10.87,2024-09-19,Entertainment,Cinema Tickets,want
31.86,2024-09-20,Transportation,Petrol Station,need
184.74,2024-09-20,Travel,Hotel Stay,want
31.49,2024-09-21,Dining Out,Lunch Cafe,want
14.34,2024-09-21,Entertainment,Concert Venue,want
23.59,2024-09-21,Groceries,Grocery Store B,need
179.96,2024-09-21,Shopping,Clothing Store Sale,need
56.62,2024-09-21,Health,Therapy Session,need
153.62,2024-09-22,Education,Bookstore,want
67.73,2024-09-22,Personal Care,Spa Center,want
30.86,2024-09-23,Dining Out,Lunch Cafe,want
143.75,2024-09-24,Education,Workshop Fee,need
13.35,2024-09-24,Transportation,Petrol Station,need
31.21,2024-09-25,Education,Online Course,need
81.63,2024-09-26,Groceries,Grocery Store B,need
39.02,2024-09-26,Groceries,Grocery Store B,need
36.25,2024-09-27,Groceries,Supermarket A,need
72.29,2024-09-27,Shopping,Bookshop,want
85.43,2024-09-28,Entertainment,Concert Venue,want
191.43,2024-09-28,Travel,Flight Booking,want
479.45,2024-09-29,Travel,Flight Booking,want
79.83,2024-09-30,Travel,Flight Booking,want
27.86,2024-09-30,Health,Gym Membership,need
149.37,2024-10-01,Shopping,Home Decor,want
55.09,2024-10-01,Entertainment,Streaming Service Subscription,want
53.89,2024-10-01,Transportation,Bus Pass Kiosk,need
109.32,2024-10-01,Education,Online Course,need
36.69,2024-10-01,Health,Doctor Visit,need
